Title,Author,Character,Gender,Location,Longitude,Latitude
Puck,Ouida,Vere Beltran,Male,Germany,10.451526,51.165691
Puck,Ouida,Vere Beltran,Male,Bucks,-0.811092,51.865959
Puck,Ouida,Vere Beltran,Male,Coronet theater,-0.19816,51.508648
Puck,Ouida,Vere Beltran,Male,Rotten Row,-0.165731,51.507282
Puck,Ouida,Vere Beltran,Male,Africa,38.218992,0.549618
Puck,Ouida,Vere Beltran,Male,Chelsea,-0.171009,51.486891
Puck,Ouida,Vere Beltran,Male,South Kensington ,-0.178883,51.496107
Puck,Ouida,Vere Beltran,Male,Richmond,-0.303846,51.4642
Puck,Ouida,Vere Beltran,Male,Coronet theater,-0.19816,51.508648
Puck,Ouida,Vere Beltran,Male,West of ireland,-9.056988,53.275475
Puck,Ouida,Vere Beltran,Male,Henley,-0.90464,51.53753
Puck,Ouida,Vere Beltran,Male,Wargrave ,-0.864929,51.500265
Puck,Ouida,Vere Beltran,Male,Hyde park,-0.165772,51.507241
Puck,Ouida,Vere Beltran,Male,South Kensington ,-0.178883,51.496107
Puck,Ouida,Vere Beltran,Male,South Kensington,-0.215595,51.514273
Puck,Ouida,Vere Beltran,Male,Coronet theater,-0.19816,51.508648
Puck,Ouida,Vere Beltran,Male,Paris,2.347395,48.857419
Puck,Ouida,Marquis of Montferrat,Male,Paris,2.347395,48.857419
Puck,Ouida,Marmion Eagle,Male,Chelsea,-0.171009,51.486891
Puck,Ouida,Marmion Eagle,Male,Rotten Row ,-0.165731,51.507282
Puck,Ouida,Marmion Eagle,Male,Bois,2.248983,48.862378
Puck,Ouida,Marmion Eagle,Male,Chelsea,-0.171009,51.486891
Puck,Ouida,St. John Milton,Male,Chelsea,-0.171009,51.486891
Puck,Ouida,Unnamed,Male,England,-1.694417,52.45997
Puck,Ouida,Unnamed,Male,England,-1.694417,52.45997
Puck,Ouida,Lord George,Male,England,-1.694417,52.45997
Puck,Ouida,Paget Desmond,Male,The Coronet,-0.19816,51.508648
Puck,Ouida,Paget Desmond,Male,3 blocks from Coronet,-0.197114,51.508979
Puck,Ouida,Paget Desmond,Male,Rotten Row,-0.165731,51.507282
Puck,Ouida,Paget Desmond,Male,St James street,-0.139306,51.506727
Puck,Ouida,Paget Desmond,Male,Coronet theater,-0.19816,51.508648
Puck,Ouida,"Dudley Moore,",Male,The Coronet,-0.19816,51.508648
Puck,Ouida,"Dudley Moore,",Male,3 blocks from Coronet,-0.197114,51.508979
Puck,Ouida,"Dudley Moore,",Male,Coronet theater,-0.19816,51.508648
Puck,Ouida,"Dudley Moore,",Male,Chelsea,-0.171009,51.486891
Puck,Ouida,"Dudley Moore,",Male,Coronet theater,-0.19816,51.508648
Puck,Ouida,Bronze,Male,The country,-1.442462,53.227428
Puck,Ouida,Bronze,Male,London,-0.071321,51.514246
Puck,Ouida,Bronze,Male,Rotten Row,-0.165731,51.507282
Puck,Ouida,Bronze,Male,London,-0.071321,51.514246
Puck,Ouida,Bronze,Male,Esher ,-0.36567,51.369621
Puck,Ouida,Harold Gerant,Male,The country,-1.442462,53.227428
Puck,Ouida,Harold Gerant,Male,London,-0.071321,51.514246
Puck,Ouida,Harold Gerant,Male,Whitefriars,-0.107198,51.513757
Puck,Ouida,Harold Gerant,Male,Thames river just beneath Westminster bridge,-0.123973,51.500836
Puck,Ouida,Gladys,Female,The country/ sussex,-0.173796,51.513493
Puck,Ouida,Gladys,Female,London,-0.071321,51.514246
Puck,Ouida,Gladys,Female,Esher ,-0.36567,51.369621
Puck,Ouida,Gladys,Female,Coronet theater,-0.19816,51.508648
Puck,Ouida,Gladys,Female,Rotten Row,-0.165731,51.507282
Puck,Ouida,Gladys,Female,Chelsea,-0.171009,51.486891
Puck,Ouida,Gladys,Female,Coronet theater,-0.19816,51.508648
Puck,Ouida,Gladys,Female,Henley,-0.900181,51.550261
Puck,Ouida,Gladys,Female,Wargrave ,-0.874927,51.501711
Puck,Ouida,Gladys,Female,Hyde park,-0.165772,51.507241
Puck,Ouida,Gladys,Female,South Kensington ,-0.178883,51.496107
Puck,Ouida,Gladys,Female,Coronet theater,-0.19816,51.508648
Puck,Ouida,Lillian Lee or Lettice Dean,Female,The country,-0.173796,51.513493
Puck,Ouida,Lillian Lee or Lettice Dean,Female,London,-0.071321,51.514246
Puck,Ouida,Lillian Lee or Lettice Dean,Female,Rotten Row,-0.165731,51.507282
Puck,Ouida,Lillian Lee or Lettice Dean,Female,Rotten Row,-0.165731,51.507282
Puck,Ouida,Ferrors,Male,3 blocks from Coronet,-0.197114,51.508979
Puck,Ouida,Earl of Guilliadene or Ned,Male,3 blocks from Coronet,-0.197114,51.508979
Puck,Ouida,Earl of Guilliadene or Ned,Male,Bonniebelle/channel,-0.137434,50.826989
Puck,Ouida,Earl of Guilliadene or Ned,Male,Germany,10.272262,51.038519
Puck,Ouida,Earl of Guilliadene or Ned,Male,Coronet theater,-0.19816,51.508648
Puck,Ouida,Earl of Guilliadene or Ned,Male,Rotten Row,-0.165731,51.507282
